switch,context,distance,position,subject,date,probe,lda_pos,region
0,1,10735895348941.193,910,459601,20240409,probe00,600,Cortex
0,2,6845994759025.157,910,459601,20240409,probe00,600,Cortex
1,1,10308907367705.191,910,459601,20240409,probe00,600,Cortex
1,2,8632565578708.029,910,459601,20240409,probe00,600,Cortex
0,1,104833873788205.47,920,459601,20240409,probe00,600,Cortex
0,2,66566401668312.1,920,459601,20240409,probe00,600,Cortex
1,1,107040331711807.08,920,459601,20240409,probe00,600,Cortex
1,2,85737707960671.97,920,459601,20240409,probe00,600,Cortex
0,1,703330412374481.0,930,459601,20240409,probe00,600,Cortex
0,2,449226969822722.7,930,459601,20240409,probe00,600,Cortex
1,1,756910324209679.5,930,459601,20240409,probe00,600,Cortex
1,2,579671516818006.5,930,459601,20240409,probe00,600,Cortex
0,1,3084346772352825.5,940,459601,20240409,probe00,600,Cortex
0,2,2031336283909489.8,940,459601,20240409,probe00,600,Cortex
1,1,3500618036677609.0,940,459601,20240409,probe00,600,Cortex
1,2,2589647669259203.0,940,459601,20240409,probe00,600,Cortex
0,1,8804831272165347.0,950,459601,20240409,probe00,600,Cortex
0,2,6184471800608659.0,950,459601,20240409,probe00,600,Cortex
1,1,1.0597290307544846e+16,950,459601,20240409,probe00,600,Cortex
1,2,-3.985239507055228e+16,950,459601,20240409,probe00,600,Cortex
0,1,1.6744030065303612e+16,960,459601,20240409,probe00,600,Cortex
0,2,1.291812947231002e+16,960,459601,20240409,probe00,600,Cortex
1,1,2.1132654275178716e+16,960,459601,20240409,probe00,600,Cortex
1,2,-3.174314225724323e+16,960,459601,20240409,probe00,600,Cortex
0,1,2.1905527119785196e+16,970,459601,20240409,probe00,600,Cortex
0,2,1.8838788243008836e+16,970,459601,20240409,probe00,600,Cortex
1,1,2.7917741545349496e+16,970,459601,20240409,probe00,600,Cortex
1,2,-2.524977953481819e+16,970,459601,20240409,probe00,600,Cortex
0,1,2.0334584222706948e+16,980,459601,20240409,probe00,600,Cortex
0,2,1.9365749536100116e+16,980,459601,20240409,probe00,600,Cortex
1,1,2.5019073094539784e+16,980,459601,20240409,probe00,600,Cortex
1,2,-2.5550712772639316e+16,980,459601,20240409,probe00,600,Cortex
0,1,1.369382655788135e+16,990,459601,20240409,probe00,600,Cortex
0,2,1.4191106320963314e+16,990,459601,20240409,probe00,600,Cortex
1,1,1.5772866961358142e+16,990,459601,20240409,probe00,600,Cortex
1,2,-3.231141203830939e+16,990,459601,20240409,probe00,600,Cortex
0,1,6765927288901571.0,1000,459601,20240409,probe00,600,Cortex
0,2,7556198447762982.0,1000,459601,20240409,probe00,600,Cortex
1,1,7258533782574644.0,1000,459601,20240409,probe00,600,Cortex
1,2,-3.998647387871361e+16,1000,459601,20240409,probe00,600,Cortex
0,1,2403667539778263.0,1010,459601,20240409,probe00,600,Cortex
0,2,2880086979687597.5,1010,459601,20240409,probe00,600,Cortex
1,1,2431367988390772.5,1010,459601,20240409,probe00,600,Cortex
1,2,2788700052137637.5,1010,459601,20240409,probe00,600,Cortex
0,1,420700521906943.0,1020,459601,20240409,probe00,600,Cortex
0,2,496341047229402.9,1020,459601,20240409,probe00,600,Cortex
1,1,393919060445392.0,1020,459601,20240409,probe00,600,Cortex
1,2,474282323028104.3,1020,459601,20240409,probe00,600,Cortex
0,1,-439147236837726.9,1030,459601,20240409,probe00,600,Cortex
0,2,4510727323826863.0,1030,459601,20240409,probe00,600,Cortex
1,1,-442621855939801.44,1030,459601,20240409,probe00,600,Cortex
1,2,-535713484416675.25,1030,459601,20240409,probe00,600,Cortex
0,1,-1009261282405437.8,1040,459601,20240409,probe00,600,Cortex
0,2,3866676789901169.0,1040,459601,20240409,probe00,600,Cortex
